,ID,Location,power,source,ref,abandoned:power,note,location:transition,line_attachment,design,source:ref,abandoned,source_ref,source:position,removed:power,fixme,old_ref,tower:type,frequency,operator,operator:wikidata,operator:wikipedia,voltage:primary,voltage:secondary,removed:ref,removed:location:transition,material,barrier,line_management,access,voltage,addr:city,addr:street,addr:suburb,addr:country,addr:postcode,addr:housenumber,entrance,substation,description,tower:construction,start_date,foot,name,bicycle,circuit:endpoint:building,3dr:direction,man_made,natural,leaf_type,leaf_cycle,highway
0,29858000,13.535170/52.534621, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,30688288,13.516352/52.563205, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,54132926,13.271842/52.500813, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,59264786,13.457372/52.608363, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,59417655,13.495610/52.590454,portal,Bing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,59417656,13.497353/52.590942,tower,extrapolation,11M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,59417657,13.501103/52.592353,tower,extrapolation,10M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,59417658,13.504828/52.593813,tower,extrapolation,9M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,59417659,13.508579/52.595346,tower,survey,8M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,59417660,13.512261/52.596852,tower,extrapolation,7M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,59417661,13.512948/52.600528,tower,extrapolation,6M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,59417662,13.513643/52.603859,tower,extrapolation,5M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,59417663,13.514226/52.607002,tower,extrapolation,4M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,59417664,13.514819/52.610411,tower,extrapolation,3M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,59419700,13.491406/52.590617, ,survey,2,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,59419701,13.492348/52.589751, ,survey,1,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,59422195,13.500728/52.618260,tower, ,18, ,Endmast / End of overhead line,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,59423415,13.515669/52.614622,tower,extrapolation,2M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,59423416,13.516405/52.618663,tower,extrapolation,1M, , , ,anchor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,59424328,13.512364/52.620370,tower, ,59, , , , ,one-level, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,59425081,13.514781/52.620790,tower, ,293, , , ,anchor,donau, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,59425082,13.508254/52.621109,tower,Yahoo,292, , , ,anchor,three-level,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,59427318,13.507585/52.620611,abandoned, , , ,Hochspannungsmast abgebaut, , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,59427319,13.503405/52.620837,abandoned, , , ,Hochspannungsmast abgebaut, , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,59431051,13.498899/52.621651,abandoned, , , ,Hochspannungsmast abgebaut, , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,59433132,13.494288/52.622860,abandoned, , , ,Hochspannungsmast abgebaut, , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,59434582,13.477292/52.628632,tower,survey,69, , , ,anchor, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,59435427,13.471958/52.628150,tower, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,59435430,13.469748/52.631010,tower, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,59436250,13.474095/52.625304,tower,survey,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,59436351,13.476606/52.622649,tower, ,7, ,Endmast / End of overhead line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,59719596,13.495990/52.590102,portal,Bing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,59719633,13.512732/52.595409,tower,Yahoo,11, , , ,anchor,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,59719634,13.509785/52.594249,tower,Yahoo,12, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,59719635,13.505993/52.592741,tower,survey,13, , , , ,one-level, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,59719636,13.502298/52.591263,tower,Yahoo,14, , , , ,one-level, , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,59719637,13.498573/52.589814,tower,Yahoo,15, , , , ,one-level, , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37,59719638,13.496393/52.588954,tower,Yahoo,16, , , ,anchor,one-level, , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,59719673,13.494669/52.588906, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,59719685,13.494869/52.588717, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,59719712,13.494255/52.589296, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41,59720167,13.493135/52.560830,portal,Bing,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42,59741855,13.557909/52.589782,tower,Yahoo,1, , , ,anchor,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,59741856,13.555343/52.590432,tower,Yahoo,2, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,59741857,13.550743/52.591613,tower,Yahoo,3, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,59741858,13.546186/52.592788,tower,survey,4, , , , ,one-level, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46,59741859,13.541222/52.593952,tower,Yahoo,5, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,59741860,13.536451/52.595060,tower,Yahoo,6, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,59741861,13.532794/52.595919,tower,Yahoo,7, , , ,anchor,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49,59741862,13.528297/52.595674,tower,Yahoo,8, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,59741863,13.523369/52.595451,tower,Yahoo,9, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,59741864,13.518023/52.595418,tower,Yahoo,10, , , , ,one-level, , ,interpolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,59744101,13.485210/52.625593,abandoned, , , ,Hochspannungsmast abgebaut, , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53,59955952,13.527825/52.495341,abandoned,survey,16, , , , , ,survey, , ,Yahoo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54,59955953,13.527104/52.495158, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55,59956075,13.516124/52.491551, , ,14,tower, , , , ,interpolation, , ,Yahoo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56,59956076,13.513671/52.487418, , ,12,tower, , , , ,interpolation, , ,Yahoo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57,59956091,13.514942/52.489263, , ,13,tower, , , , ,interpolation, , ,Yahoo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,59956196,13.513843/52.484313, , , , , , , , , , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59,59956197,13.512332/52.485103, , , , , , , , , , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,59956198,13.512770/52.485165, , , , , , , , , , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61,59956199,13.514178/52.484366, , , , , , , , , , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62,59956283,13.513027/52.482374, , , , , , , , , , , , ,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63,59956432,13.506810/52.474276, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64,59956444,13.506685/52.474390, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65,59956731,13.494256/52.488380,tower,interpolation,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66,59956733,13.494042/52.488338, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67,59956734,13.494437/52.488411, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68,59958253,13.523224/52.424923,tower,survey,88, ,Übergang Erdkabel, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69,59958254,13.524403/52.421719,tower, ,89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70,59958255,13.525428/52.418824,tower, ,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
71,59958256,13.526718/52.415317,tower, ,91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72,59958257,13.527733/52.412510,tower, ,92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,59958258,13.525706/52.409488,tower, ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74,59958259,13.523652/52.406298,tower, ,94, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75,59958260,13.521682/52.403330,tower, ,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
76,59958261,13.520772/52.401013,tower, ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77,59958262,13.519585/52.398171,tower, ,97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78,59958263,13.516521/52.397403,tower, ,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
79,59958264,13.511162/52.397205,tower, ,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80,59958266,13.501754/52.396855,tower, ,101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81,59958267,13.496360/52.395975,tower, ,102, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
82,59958268,13.490971/52.395085,tower, ,103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83,59958269,13.485645/52.394209,tower, ,104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84,59958270,13.480414/52.393347,tower, ,105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85,59958271,13.475022/52.392454,tower, ,106, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86,59958272,13.469615/52.391575,tower, ,107, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
87,59958280,13.481383/52.391549,tower,Yahoo,19N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
88,59958281,13.482752/52.393373,tower,Yahoo,20N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
89,59958282,13.486056/52.393909,tower,Yahoo,21N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
90,59958283,13.488348/52.394274,tower,Bing,22N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
91,59958284,13.488504/52.393842, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
92,59958322,13.455681/52.378387,tower,Yahoo,11N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
93,59958323,13.471157/52.379411,tower,Yahoo,14N, , , , , ,survey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
94,59958324,13.472697/52.381156,tower,Yahoo,15N, , , , , ,extrapolation, , , , ,Mastnummer mit ref und source, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
95,59958325,13.475169/52.383896,tower,Yahoo,16N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
96,59958326,13.479298/52.388861,tower,Yahoo,18N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
97,59958327,13.456843/52.379683,tower, ,112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
98,59958328,13.453204/52.377236,tower, ,113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
99,59958329,13.448838/52.373729,tower,Yahoo,9N, , , , , ,survey, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100,59958364,13.462599/52.387980,tower, ,109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101,59958365,13.460561/52.385052,tower, ,110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
102,59958366,13.458731/52.382423,tower, ,111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103,59958367,13.452371/52.376154,tower,Yahoo,10N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104,59958368,13.460787/52.378715,tower,Yahoo,12N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
105,59958369,13.466051/52.379067,tower,Yahoo,13N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
106,59958370,13.445226/52.371308,tower,Yahoo,8N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
107,59958388,13.449846/52.374965,tower, ,114, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
108,59958389,13.439398/52.367379,tower, ,6N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
109,59958390,13.442315/52.369357,tower,Yahoo,7N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
110,59958393,13.439539/52.367961,tower, ,117, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
111,59958394,13.443202/52.370455,tower, ,116, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
112,59958395,13.446839/52.372933,tower, ,115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
113,59958524,13.435927/52.365535,tower, ,118, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
114,59958557,13.437934/52.361273,tower, ,4N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
115,59958558,13.438638/52.364213,tower, ,5N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
116,59958579,13.432627/52.363251,tower, ,119, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
117,59958580,13.429155/52.360917,tower, ,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
118,59958581,13.425805/52.358630,tower, ,121, , , , , ,survey 2013-09-14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
119,59958732,13.432194/52.348807,tower, ,56, , , , , , , , , , , ,66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
120,59958849,13.435774/52.355143,tower,survey,2N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
121,59958850,13.437169/52.358245,tower, ,3N, , , , , ,extrapolation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
122,59960340,13.418258/52.354498,tower, ,123, , , , , , , , , , , , ,portal, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
123,59960341,13.415891/52.354371,tower,survey,124, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
124,59960457,13.375726/52.349951,tower, ,132, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
125,59960458,13.380613/52.350652,tower, ,131, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126,59960459,13.385524/52.351344,tower, ,130, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127,59960460,13.390095/52.352016,tower, ,129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128,59960461,13.394955/52.352704,tower, ,128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
129,59960462,13.400117/52.353448,tower, ,127, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
130,59960463,13.405756/52.353814,tower, ,126, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
131,59960464,13.410970/52.354090,tower, ,125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
132,59960553,13.434277/52.351843,tower, ,1N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
133,59960798,13.288520/52.245179,tower,survey,169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
134,59960800,13.291086/52.247852,tower, ,168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
135,59960801,13.293558/52.250516,tower,survey,167, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
136,59960802,13.296380/52.253475,tower, ,166, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
137,59960803,13.299152/52.256399,tower, ,165, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
