,ID,Location,power,ref,source,material,structure,note,line_attachment,design,operator,abandoned:power,barrier,emergency,ref:2,source:ref,fixme,endpoint:busbar,switch,location:transition,tower:type,frequency,location,phases,voltage:primary,voltage:secondary,name,seamark:buoy_special_purpose:colour,seamark:buoy_special_purpose:shape,seamark:name,seamark:type,devices,voltage-high,voltage-low,alt_name,direction,traffic_sign,voltage,removed:power,transformer,communication:mobile_phone,access,razed:power,demolished:power,description,seamark:notice:category,seamark:notice:function,waterway:sign,circuit:endpoint:building,operator:wikidata,operator:wikipedia,endpoint:overhead_line,endpoint:underground_cable,height,disused:power,line_management,no:power,abandoned,removed:line_attachment,removed:location:transition,removed:material,railway,railway:signal:direction,railway:signal:minor,railway:signal:minor:form,railway:signal:minor:height,railway:signal:position,demolished:transformer,compensator,highway,bus,public_transport,man_made,removed:transformer,pole,building,substation,construction:power,bicycle,foot,pole:type,rating,street_cabinet,demolished:ref,line,utility,seamark:landmark:category,seamark:source,door,entrance
0,21929654,9.438687/54.803285, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,21929724,9.434646/54.804097, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,85741447,10.174783/54.338850, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,192374201,10.140639/54.383827, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,198012736,10.197541/54.455344, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,200964953,9.752902/53.583928,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,200964954,9.756353/53.583577,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,200964956,9.760215/53.583168,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,200964957,9.764017/53.582642,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,200964959,9.767552/53.582152,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,200964960,9.771045/53.581669,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,200964961,9.774831/53.581142,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,200964963,9.778472/53.581196,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,200964965,9.782103/53.581246,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,200964967,9.785563/53.581294,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,200964969,9.789175/53.582093,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,200964971,9.792889/53.582919,tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
