,ID,Members,cables,frequency,from,name,operator,operator:wikidata,operator:wikipedia,route,to,type,voltage,wires,colour,note,via,ref,fixme,old_operator,old_name,note:de,operator:abbr,via:2,capacity,name:de,ref:1,operator:short,rating,wikidata,wikipedia,fre,network,source
0,67166,"['23947399', '33562605', '23544443', '28197130', '127605901', '233999540', '233999541', '29072395', '29072396']",2,16.7,Rethen,Rethen - Löhne 2,DB Energie GmbH,Q1152043,de:DB Energie,power,Löhne,route,110000, , , , , , , , , , , , , , , , , , , , , 
1,67168,"['132260092', '176341537', '176341539', '233999541', '127605901', '233999540', '29072644', '45646383', '29183350', '28777197']",2,16.7,Hameln,Hameln - Osnabrück 1,DB Energie GmbH,Q1152043,de:DB Energie,power,Osnabrück,route,110000,single, , , , , , , , , , , , , , , , , , , , 
2,67170,"['29072396', '29072395', '29072644', '174082878', '28777197']",2,16.7,Löhne,Löhne - Osnabrück 2,DB Energie GmbH,Q1152043,de:DB Energie,power,Osnabrück,route,110000,single, , , , , , , , , , , , , , , , , , , , 
3,69605,"['116099942', '182389782', '182389783', '702503403', '923061517', '29465782']",3,50, ,Gersteinwerk - Selm,Westnetz, , ,power,Selm,route,110000,single,blue, , , , , , , , , , , , , , , , , , , 
4,69607,"['26593929', '26593933', '30281036', '909772766', '80130019', '88715832', '505137255', '143069429', '36272144', '505140335', '25992879', '473786692', '31450986', '245548337', '29291584', '162460510', '222944673', '162176187', '143069420']",3,50,Oberzier (DE),Kirchberg Süd,Amprion, , ,power,Maasbracht (NL),route,380000,quad, ,Capacity 1645 MVA,Siersdorf, , , , , , , , , , , , , , , , , 
5,69608,"['870598505', '26593932', '30281036', '909772766', '77280697']", ,50, ,Berg Ost,RWE, , ,power, ,route,110000,double, , , , , , , , , , , , , , , , , , , , 
6,106957,"['27738565', '36501828', '752005410', '36501838', '27739381', '118978975', '28607657']",3, , , ,Avacon,Q1273382,de:Avacon,power, ,route,110000,single, , , ,1090-3, , , , , , , , , , , , , , , , 
7,144511,"['34837564', '174080482', '34839172', '24737448', '164935295', '781297672', '174082379', '28777197']",2,16.7,Münster,Münster - Osnabrück 1,DB Energie GmbH, , ,power,Osnabrück,route,110000,single, , , , , , , , , , , , , , , , , , , , 
8,149064,"['35167444', '395552399', '395552398', '27998424', '34839172', '174080481', '34837564']",2,16.7,Oelde,Oelde - Münster 1,DB Energie GmbH, , ,power,Münster,route,110000,single, , , , , , , , , , , , , , , , , , , , 
9,149065,"['33970079', '44178355', '26847595', '27998424', '34839172', '174080464', '34837564']",2,16.7,Münster,Münster - Ehringhausen 2,DB Energie GmbH, , ,power,Ehringhausen,route,110000,single, , , , , , , , , , , , , , , , , , , , 
10,149068,"['42669913', '697003435', '697003434', '44179543', '42672713', '35111160', '44355248', '26847595', '395552398', '35201423', '35167444']",2,16.7,Warburg,Warburg - Oelde 1,DB Energie GmbH,Q1152043,de:DB Energie,power,Oelde,route,110000,single, , , , , , , , , , , , , , , , , , , , 
11,172574,"['34837564', '174080479', '27031634', '37636685', '119216473', '34840725']",2,16.7,Münster,Münster - Salzbergen 1,DB Energie GmbH,Q1152043,de:DB Energie,power,Salzbergen,route,110000,single, , , ,1, , , , , , , , , , , , , , , , 
12,300023,"['146670556', '35138309', '44179543', '42672713', '35111160', '27490792', '33970079', '828438451', '59534798', '146670555']",2,16.7,Borken,Borken - Ehringhausen 2,DB Energie GmbH, , ,power,Ehringhausen,route,110000,single, , , , , , , , , , , , , , , , , , , , 
13,300026,"['146670556', '146670555', '35138309', '697003434', '891214665', '42669912', '42669913', '828438448', '176292780', '59534798']",2,16.7,Borken,Borken - Warburg,DB Energie GmbH,Q1152043,de:DB Energie,power,Warburg,route,110000,single, , , ,1, , , , , , , , , , , , , , , , 
14,356938,"['28777197', '34694470', '45646383', '30180100', '45646374', '193392029']",2,16.7,Osnabrück,Osnabrück - Barnstorf 2,DB Energie GmbH,Q1152043,de:DB Energie,power,Barnstorf,route,110000,single, , , , , , , , , , , , , , , , , , , , 
15,537120,"['31143512', '89766714', '265591544', '52836561', '265591547', '265591546', '989159349', '265590933', '265590932', '284695899', '284695903', '284927138', '131986844', '39947413', '284926979', '53366221', '53544326', '52698907']",2,16.7,Hagen,Hagen - Dortmund 1,DB Energie GmbH,Q1152043,de:DB Energie,power,Dortmund,route,110000, , , , , , , , , , , , , , , , , , , , , 
16,537129,"['32472806', '32499525', '408546623', '284926865', '284926866', '53544569', '53544572', '284926867', '52705439', '52705458']",3,50, ,Mengede Tr 411,Westnetz,Q2807462,de:Westnetz,power, ,route,110000, , , , , , , , , , , , , , , , , , , , , 
17,537151,"['766727719', '53580768', '52527276', '766727720', '52527278', '52527267', '284865900', '284865899', '284697986', '24415184', '52838116', '52838119', '52836591', '52836650', '52836595', '265591548', '31143512']",2,16.7,Lünen,Lünen - Hagen 1,DB Energie GmbH,Q1152043,de:DB Energie,power,Hagen,route,110000,double, , , , , , , , , , , , , , , , , , , , 
