,ID,Members,cables,frequency,from,name,operator,operator:wikidata,route,to,type,via,voltage,wires,operator:wikipedia,ref,network,fixme,colour,note,planned
0,67188,"['461759777', '461759775', '35432269', '174280283', '29341067', '106562027', '718462046', '718462045', '85202892', '106562032', '27329238', '29024797', '174273574', '35710365', '35710366', '35710363', '506243903', '32539584', '119495717', '119495721', '32539644']",2,16.7,Nenndorf,Nenndorf - Neumünster 2,DB Energie GmbH,Q1152043,power,Neumünster,route,Elmshorn,110000,double;single, , , , , , , 
1,67585,"['1089911132', '700393993', '98461109', '39464534', '28344088', '174267708', '834369313', '174267700', '28327356', '947123047']",3,50,Krümmel (TenneT),Hochspannungsleitung Krümmel - Lüneburg,TenneT TSO GmbH,Q1662830,power,Lüneburg,route, ,380000,quad,de:Tennet TSO, , , , , , 
2,114611,"['22985942', '23581372', '25676535', '33209269', '427418439', '256853461', '256855709', '19339247', '256830775', '67696776']",3, ,HKW Wedel,Transportleitung,Vattenfall_Europe_Transmission, ,power,UW HH-West,route, ,110000, , ,46;47;48;49, , , , , 
3,114696,"['23583867', '52102647', '946545982', '23129226', '164112588', '164112589', '86042599', '48990729', '133749091', '22720647']",3,50,Hamburg/Ost,Hamburg/Ost - Hamburg/Nord,50Hertz Transmission,Q241331,power,Hamburg/Nord,route, ,380000,double, ,A,UCTE, , , , 
4,114708,"['19340691', '22096073', '22720647', '952694802', '22746117', '23008476', '134076666', '25676535', '32265692', '134076670', '33208692', '33208701', '134076664', '33208769', '134076667', '128070787', '128073115']", ,50,UW HH-West,Transportleitung,Vattenfall Europe AG, ,power,UW HH/Nord (VET),route, ,110000, , ,40;41;44;45, , , , , 
5,114718,"['1089769600', '1089769599', '750591668', '844516314', '844516315', '852542508', '852542510', '23156680', '164073895', '700396641', '133749096', '22720647']",3,50,Brunsbüttel (TenneT),Brunsbüttel (TenneT) - Hamburg/Nord (50Hertz),50Hertz Transmission,Q241331,power,Hamburg/Nord (50Hertz),route, ,380000,quad, ,G,UCTE, , , , 
6,114723,"['22720647', '358953274', '536200637', '536200638', '358953278', '536200628', '952961045', '62251386', '952961044', '1083441288', '22977337', '28008024']",3, ,Hamburg Nord (50Hertz Transmission), , , ,power,Hamburg Nord (TenneT TSO),route, ,220000, , ,203 blau, , , , , 
7,114738,"['525964629', '882960319', '882960320', '186397898', '32267173', '87722999']",6,50,AKW Brokdorf,308 AKW Brokdorf - UW Wilster,TenneT TSO GmbH, ,power,UW Wilster,route, ,380000, , ,308,UCTE, , , , 
8,114742,"['1089769599', '852542506', '164073884', '165297731', '165297730', '136034396']",3,50,Brunsbüttel (TenneT),Brunsbüttel (TenneT) - Büttel Grün,TenneT, ,power,Büttel,route, ,380000, , ,309,UCTE,check ref and name, , , 
9,114776,"['23025324', '23583867', '9044561', '32300747', '52102090']",3,50,UW Tiefstack,UW Tiefstack - UW HH-Ost, , ,power,UW HH-Ost,route, ,110000,double, ,66, , ,green, , 
10,114782,"['1089911133', '30053158', '700393995', '98461276', '98461114', '52102658', '946545903', '52102667', '23583867']",3,50,KKW Krümmel,992 Krümmel - Hamburg/Ost,50Hertz Transmission,Q241331,power,UW HH-Ost,route, ,380000, , ,992,UTCE, , , , 
11,114795,"['24502420', '881636327', '903397390', '34174518', '881636328', '881636326', '164200181', '318302082', '23987418', '718462044', '718462043', '23987422', '34174571', '694144348', '45737386', '46107365', '844516312', '844516313', '882960318', '33270701', '186397898', '525964629']",3,50,UW Wilster,UW Wilster - UW Dollern - gelb,TenneT TSO GmbH,Q1662830,power,UW Dollern,route, ,380000, ,de:Tennet TSO,307,UCTE, , , , 
12,117187,"['256916765', '256916766', '256917794', '256916762', '256916763', '427418437', '25676535', '23008617', '23008621', '33463527', '23145704', '22746116', '22720647', '952694802']",3,50,UW HH-West, ,Vattenfall Europe AG, ,power,UW HH/Nord (VET),route, ,110000,single, ,42, , ,green, , 
13,383135,"['28765009', '35361133', '504110628', '48167259', '48167256', '48167252', '48167253', '834346777', '834346778', '174270443', '28400657']",2,16.7,Lüneburg,Bahnstrom Lüneburg - Boizenburg 1,DB Energie GmbH, ,power,Boizenburg,route, ,110000,single, ,1, , , , , 
14,908964,"['87722999', '45737389', '46107365', '844516312', '844516313', '32267140', '1071510185', '1083441292', '47297508', '844516311', '844516310', '60032354']",3,50,Itzehoe/West,Itzehoe/West - Brokdorf - grün,TenneT TSO GmbH,Q1662830,power, ,route,KKW Brokdorf,220000,single, ,202, , , , , 
15,943998,"['54267242', '60710562', '232951610', '66208021', '27049742', '54327058', '27124619', '60709954', '34964715', '139293184', '399934681', '33755994', '28015900']",3,50, ,133,Schleswig-Holstein Netz, ,power, ,route, ,110000,single, ,133, , ,red, , 
16,943999,"['149869150', '54267242', '60710562', '452500197', '60709967', '27124619']",3,50,GK Kiel,211,TenneT TSO GmbH,Q1662830,power,Kiel-Süd,route, ,220000,double,de:Tennet TSO,211, , , ,"GKK stillgelegt, Leitung ohne Funktion", 
17,945142,"['27012351', '44867751', '452500193', '60709963', '27124619', '44020183', '399871688', '399871690', '399871689', '188000052', '33910224', '59862401', '36010623', '188000043']",3,50, , ,Schleswig-Holstein Netz, ,power, ,route, ,110000,single, ,150, , ,black, , 
18,945143,"['995058839', '44020184', '292735125', '60710563', '60710564', '44020183', '27124619', '33148774']",3,50,Kiel-Süd,207,TenneT TSO GmbH, ,power,Audorf,route, ,220000,single, ,207, , , , , 
19,968221,"['25306780', '338361030', '48990738', '25306807', '372775996', '952690090', '32997200']",3,50,Kummersfeld,143 grün,EON_Netz, ,power, ,route, ,110000,single, ,143, , ,green, , 
20,968222,"['952961046', '133737440', '133737444', '536200628', '600865313', '33273033', '536200638', '556508312', '35815141', '164998850', '326615932', '326615917', '29342292']", ,50,HH/Nord,118 gelb,Schleswig-Holstein Netz, ,power,Kummerfeld,route,Halstenbeck,110000, , ,118, , ,yellow, , 
21,1188841,"['11285720', '24853874', '23557550', '78732383', '317999343', '23128937', '946545905', '23583867', '78738017']",3,50,Hamburg-Süd,Hamburg/Süd - Hamburg/Ost,50Hertz Transmission,Q241331,power,Hamburg-Ost,route, ,380000,quad,de:50Hertz Transmission,C,UCTE, , , , 
22,1188844,"['23583867', '52102648', '946545980', '24853874', '23557550', '78732383', '11285720', '78738021', '317999344']",3,50,Hamburg-Süd,Hamburg/Süd - Hamburg/Ost,50Hertz Transmission,Q241331,power,Hamburg-Ost,route, ,380000,quad,de:50Hertz Transmission,D,UCTE, , , , 
23,1642296,"['32539644', '174280293', '131279413', '993479098', '993479096', '993479100', '29082137', '170982774', '35431117']",2,16.7,Neumünster,Neumünster - Jübek 2,DB Energie GmbH,Q1152043,power,Jübek,route, ,110000,single,de:DB Energie, , , , , , 
24,1642297,"['32539644', '133432192', '131279413', '993479098', '993479096', '993479100', '29082137', '119495724', '35431117']",2,16.7,Neumünster,Neumünster - Jübek 1,DB Energie GmbH,Q1152043,power,Jübek,route, ,110000,single,de:DB Energie, , , , , , 
25,2141211,"['89430569', '88520250', '159976422', '1050843667', '87962815', '160126603', '160126599', '87952821']",3,50,Niebüll,108 rot,Schleswig-Holstein Netz AG,Q2239261,power,Flensburg,route,Schobüll;Lindewitt,110000,single,de:Schleswig-Holstein Netz,108, , ,red, , 
26,2141212,"['89430569', '159976425', '159976422', '1050843666', '87962815', '87962802', '160126599', '87952821']",3,50,Flensburg,108 gelb,Schleswig-Holstein Netz AG,Q2239261,power,Niebüll,route,Schobüll;Lindewitt,110000,single,de:Schleswig-Holstein Netz,108, , ,yellow, , 
27,2143450,"['87962811', '160126596', '160126598', '87962825', '87952821']",3,50,Flensburg,107 grün,E.ON Netz,Q15806976,power,Weding,route, ,110000,single,de:E.ON Netz,107, , ,green, , 
28,2143451,"['95840891', '160126594', '160126597', '87952821']",3,50,Kassø,Kassø (DK) - Flensburg (DE) 220 kV,Energinet.dk;TenneT TSO GmbH, ,power,Flensburg (DE),route, ,220000,double;single, , , , , ,Capacity 305 MVA, 
29,2143452,"['87952821', '87952805', '160126594', '96621388', '96632017']",3,50,Flensburg (DE),Flensburg (DE) - Ensted (DK),Energinet.dk;TenneT TSO GmbH, ,power,Ensted (DK),route, ,220000,double;single, , , , , ,Capacity 305 MVA, 
30,2143453,"['87962811', '160126601', '160126598', '160126602', '87952821']",3,50, ,107 blau, , ,power, ,route, ,110000,single, ,107, , ,blue, , 
31,2146524,"['87965406', '160413441', '160413438', '160413442', '350597124', '109806503', '89007103']",3,50,Rosendahl, ,E.ON Netz,Q15806976,power,Breklum,route, ,110000,single,de:E.ON Netz,139 rot, , ,red, , 
32,2146525,"['87965406', '87965408', '160413438', '160413440', '160413434', '160413442', '350597124', '109806502', '89007103']",3,50,Rosendahl, ,E.ON Netz,Q15806976,power,Breklum,route,Horstedt,110000,single,de:E.ON Netz,139 grün, , ,green, , 
33,2146571,"['110077372', '160415432', '968007906', '88862951', '88860388', '88860386', '157774591', '160415430', '88865536', '60844401', '46679433', '60844383', '238955889']",3,50,St. Peter, ,EON_Netz, ,power,Reinsbüttel,route,Tönningen,60000,single, ,1434 rot, , ,red, , 
34,2146572,"['110077372', '968007907', '160415428', '88862951', '157773158', '87965406']",3,50,St. Peter, ,E.ON Netz,Q15806976,power,Husum,route, ,60000,single,de:E.ON Netz, , , ,black, , 
35,2189200,"['1089769600', '1089769599', '164073898', '23156680', '852542510', '852542509', '750591668', '844516314', '844516315', '700396641', '133749097', '22720647']",3,50,Brunsbüttel (TenneT),Brunsbüttel (TenneT) - Hamburg/Nord (50Hertz),50Hertz Transmission,Q241331,power,Hamburg/Nord (50Hertz),route, ,380000,quad, ,H,UCTE, , , , 
36,2189657,"['23583867', '59584053', '946545981', '23129226', '164112588', '164112589', '86042599', '48990729', '133749095', '22720647']",3,50,Hamburg/Ost,Hamburg/Ost - Hamburg/Nord,50Hertz Transmission,Q241331,power,Hamburg/Nord,route, ,380000,double, ,B,UCTE, , , , 
37,2326283,"['28765009', '48167252', '48167253', '834346777', '834346779', '174270444', '28400657', '504110629', '85170297', '48167259', '48167256']",2,16.7,Lüneburg,Bahnstrom Lüneburg - Boizenburg 2,DB Energie GmbH, ,power,Boizenburg,route, ,110000,single, ,2, , , , , 
38,2326409,"['461759777', '461759776', '35432269', '174280284', '29341067', '106562027', '718462046', '718462045', '85202892', '106562032', '27329238', '174273571', '174273574', '35710365', '35710366', '35710363', '506243903', '32539584', '119495717', '119495716', '32539644']",2,16.7,Nenndorf,Nenndorf - Neumünster 1,DB Energie GmbH,Q1152043,power,Neumünster,route,Elmshorn,110000,double;single, , , , , , , 
39,2910798,"['30040568', '220105441', '729961685', '729961686', '43072045', '98399158', '435842164', '55457582', '58866568', '234320376', '669758805', '162361396', '820788485', '148969869', '220105444', '729961687', '1089911133']",3,50,Krümmel (50 Hertz),Hochspannungsleitung 419 Krümmel - Görries,50Hertz Transmission GmbH, ,power,Görries,route, ,380000,quad, ,419, , , , , 
40,2910799,"['1089911133', '669758802', '234320375', '58866568', '55457582', '435842164', '98399158', '43072045', '220105441', '729961685', '729961686', '729961687', '220105444', '148969880', '148969873', '220105440', '234171372', '234171369']",3, ,Krümmel (50 Hertz),Hochspannungsleitung 420 Krümmel - Wessin,50Hertz Transmission,Q241331,power,Wessin,route, ,380000,quad,de:50Hertz Transmission,420, , , , , 
41,3442962,"['19339247', '256855709', '33209269', '427418440', '256853460', '25676535', '23581372', '22985945']",3,50, , , , ,power, ,route, ,110000,double, , , , , , , 
42,3442963,"['25676535', '256853459', '32265688', '256855709', '19339247', '23581372', '22985943']",3,50, , , , ,power, ,route, ,110000,double, , , , , , , 
43,3442964,"['25676535', '33209316', '32265688', '256855709', '19339247', '23581372', '22985951']",3,50, , , , ,power, ,route, ,110000,double, , , , , , , 
44,3568882,"['157733464', '157733476', '265610258', '157733460', '157733471', '157733477', '265609452', '157733462', '146225295']",3,50,Brokstedt, ,EON_Hanse, ,power, ,route, ,60000,single, , , , , , , 
45,3568883,"['163871943', '157733476', '265610257', '157733460', '265611498', '158801311', '59145566']",3,50,Brachenfeld, ,EON_Hanse, ,power,Brokstedt,route, ,60000,single, , , , , , , 
46,3571133,"['118251547', '59145568', '265779254', '638787151', '59145565', '31695717']",3,50,Brachenfeld, ,Schleswig-Holstein Netz AG, ,power,Neumünster/Nord,route, ,110000,single, , , , , , , 
47,3571134,"['87465956', '265779250', '118251524', '31695717']",3,50,Brachenfeld, ,Schleswig-Holstein Netz AG, ,power,Neumünster/Ost,route, ,110000,single, , , , , , , 
48,3571135,"['59145558', '49876673', '157735805', '638787145', '90085538', '59145566']",3,50,Brachenfeld, ,EON_Netz, ,power,Einfeld,route, ,110000,single, , , , , , , 
49,3571136,"['59145566', '31695739', '638787146', '157735805', '49876671', '180867976', '265948030', '35176741', '33148774']",3,50,Brachenfeld,Brachenfeld - Audorf,EON_Netz, ,power,Audorf,route, ,110000,single, , , , , , , 
50,3571137,"['87465956', '265779257', '118251560', '265782864', '28157123', '31696338']",3,50,Einfeld,Stromnetz 3571137,Schleswig-Holstein Netz AG, ,power,Neumünster/Ost,route, ,110000,single, , , , , , , 
51,3571138,"['59145558', '49876672', '180867976', '265948030', '35176741', '33148774', '33148774']",3,50,Einfeld,Stromnetz Audorf - Einfeld,EON_Netz, ,power, ,route, ,110000,single, ,Audorf - Einfeld, , , , , 
52,3571139,"['31696338', '265779252', '87677119', '118251570', '59145568']",3,50,Einfeld, ,Schleswig-Holstein Netz AG, ,power,Neumünster/Nord,route, ,110000,single, , , , , , , 
53,3571436,"['265785986', '69691861', '70497082']",3,50,Neumünster/Süd, ,Schleswig-Holstein Netz AG, ,power,Neumünster/West,route, ,110000,single, , , , , , , 
54,3571437,"['638787152', '59145559', '31695717', '265785987', '69691861']",3,50,Brachenfeld, ,Schleswig-Holstein Netz AG, ,power,Neumünster/Süd,route, ,110000,single, , , , , , , 
55,3571480,"['265787822', '519388127', '96153941', '70497082']",3,50,Neumünster/Mitte, ,Schleswig-Holstein Netz AG,Q2239261,power,Neumünster/West,route, ,110000,single,de:Schleswig-Holstein Netz, , , , , , 
56,3571481,"['31695717', '265787821', '96153941']",3,50,Brachenfeld, ,Schleswig-Holstein Netz AG,Q2239261,power,Neumünster/Mitte,route, ,110000,single,de:Schleswig-Holstein Netz, , , , , , 
57,3732382,"['95840891', '301158539', '387153316', '387153307', '29082138', '210286788']",3,50,Jardelund (DE),Jardelund (DE) - Kassø (DK) (west), , ,power,Kassø (DK),route, ,400000,double, , , , , ,Capacity 658 MVA, 
58,3885012,"['35176751', '38130670', '686981244', '47081168', '58724194', '525964629']",6,50,Audorf, ,TenneT TSO GmbH,Q1662830,power, ,route, ,380000,double, ,303, , , , , 
59,3889743,"['27646106', '60930862', '368820640', '54111436', '54111429', '44020184', '27311510', '292735125', '44020183', '995058839', '33148774']",3,50,Kiel-West,207A,TenneT TSO GmbH, ,power,Audorf,route, ,220000,single, ,207A, , , , , 
60,3889744,"['27124619', '27918768', '60710564', '27311510', '54111429', '54111436', '60930862', '368820640', '27646106']",3,50,Kiel-Süd,207A,TenneT, ,power,Kiel-West,route, ,220000,single, ,207A, , , , , 
61,3889745,"['1089769599', '852542467', '164073897', '164073892', '58724195', '59295320', '350314907', '1071510184', '55015408', '60032354']",3, ,Brunsbüttel, , , ,power,Itzehoe/West,route, ,220000, , ,212, , , , , 
62,3918230,"['74893659', '217974209', '889061693', '235735184', '79088887', '28390455']", ,0,Herrenwyk (DE),Herrenwyk (DE) - Kruseberg (SE), , ,power,Kruseberg (SE),route, ,450000, , , , , , ,"Capacity 600 MVA, electrode lines not mapped within this relation", 
63,3943779,"['28008024', '275281698', '23068296', '62251372', '35336024', '130794508', '130794504']",3, ,Hamburg Nord, , , ,power,Lübeck,route, ,220000, , ,208, , , , , 
64,3943784,"['130794504', '1089763367', '74893662']",3,50,Lübeck,Erdkabel Lübeck - Siems,TenneT, ,power,Siems,route, ,220000, , , ,UCTE, , , , 
65,3947498,"['151765495', '229500137', '151765494', '296751941', '318302061', '40276650', '207400750', '318302083', '905107991', '318302043', '24502420', '40276647', '955268851', '955268863']",3,50,Götzdorf,Götzdorf - Dollern - Sottrum,TenneT, ,power,Sottrum,route,Dollern,220000, , , , ,"Prüfung, ob noch angeschlossen", , , 
66,3947500,"['33017336', '229475906', '229475902', '296751941', '318302034', '318302061', '29344008']",3,50,Abbenfleth, ,TenneT, ,power,Stade,route, ,220000, , , , , , , , 
67,3952642,"['2324245219', '223535387', '325157925', '136034396']", , ,Sylwin Alpha,Sylwin Alpha, , ,power,Büttel,route, , , , , , ,Kabel von Küste bis Büttel fehlt, , ,yes
68,4299521,"['23584032', '23583867', '33421139', '256998918', '59584064', '62146070', '27212624', '568526952', '62137411', '568530339', '23583902', '568526953', '50061673', '40840933', '49209330']",3,50, ,37, , ,power, ,route, ,110000, , ,37, , ,blue, , 
69,4299522,"['23584032', '23583867', '256998919', '647829019', '59584064', '62146070', '23583902']",3,50, ,60, , ,power, ,route, ,110000, , ,60, , ,yellow, , 
70,4299523,"['23584032', '23583867', '23584024', '647829034', '256998914', '62146070', '23583902']",3,50, ,61, , ,power, ,route, ,110000, , ,61, , ,green, , 
71,4299524,"['23584032', '23583867', '647829020', '256998910', '256998914', '62146070', '27212624', '568526952', '62137411', '568530339', '23583902', '59743262', '50061673', '40840933', '49209330']",3,50, ,68, , ,power, ,route, ,110000, , ,68, , ,red, , 
72,5224955,"['1089769599', '350312438', '59295325', '164073892', '852542501', '28485073', '852542502', '852542503', '30622368', '59295319']",3,50, , ,Schleswig-Holstein Netz, ,power, ,route, ,110000,double;single, ,155, , , , , 
73,5225018,"['60032354', '413111912', '239762123', '350314908', '350314907', '59295320', '59295326', '350312438', '350312441', '350314909']",3,50, , ,Schleswig-Holstein Netz, ,power, ,route, ,110000,double, ,136, , , , , 
74,5225339,"['350325924', '394110158', '29340834', '32263628', '32263740', '350328774']",3,50, , ,EON_Netz, ,power, ,route, ,110000,single, ,119, , , , , 
75,5225340,"['32263628', '32263740', '350328773', '394110159', '350325929', '29340834']",3,50, , ,EON_Netz, ,power, ,route, ,110000,single, ,119, , , , , 
76,5229566,"['65104347', '64952004', '242294434', '64952003', '33150482', '350592352', '238947820', '87965406']",3,50, , , , ,power, ,route, ,110000,single, ,132 rot, , ,red, , 
77,5229567,"['64952002', '350592348', '65104367', '65104347', '64952006', '65104361', '33150482', '242294760', '238983825', '87967859']",3,50, , , , ,power, ,route, ,110000,single, ,132 gelb, , ,yellow, , 
78,5229568,"['64952002', '65104367', '65104369', '64952004', '64952003', '242294435']",3,50, , , , ,power, ,route, ,110000,single, ,132 grün, , ,green, , 
79,5229569,"['350592352', '242294760', '238983824', '87967859', '87965406', '238947821']",3,50, , , , ,power, ,route, ,110000,single, ,132 blau, , ,blue, , 
80,5229590,"['41225256', '35176748', '33148774']",3,50, , , , ,power, ,route, ,110000,single, , , , , , , 
81,5229617,"['87383986', '89005341', '350599478', '350598354', '55015411', '239762115', '413111902', '1071510186', '65104365', '65104367', '31667376']",3,50, , , , ,power, ,route, ,110000,single, ,120 grün, , ,green, , 
82,5229618,"['89005341', '350599478', '350599477', '350598354', '55015411', '1071510186', '239762116', '413111897', '65104367', '31667376', '65104366']",3,50, , , , ,power, ,route, ,110000,single, ,120 gelb, , ,yellow, , 
83,5229907,"['238987031', '238987034', '350603508', '350603507', '64880588', '238987035', '238947817', '87965406', '971476709', '350606287', '41836167', '977669526', '917438773', '917438774', '242246106', '33148774', '64880598', '95179399', '238991394']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,110000,single,de:Schleswig-Holstein Netz,102 rot, , ,red, , 
84,5229908,"['350603508', '350603507', '64880588', '238987035', '238987032', '238987033', '87965406', '238947818', '971476709', '350606287', '41836167', '977669526', '917438773', '917438774', '33148774', '242246108', '64880598', '238991393', '95179399']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,110000,single,de:Schleswig-Holstein Netz,102 gelb, , ,yellow, , 
85,5229965,"['41365617', '41365613', '33293685', '242246098', '33148774']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,103 blau, , ,blue, , 
86,5229966,"['41365617', '350606288', '350606286', '41365603', '82690333']",3,50, , , , ,power, ,route, ,110000,single, ,103 gelb, , ,yellow, , 
87,5229967,"['41365603', '82690316', '350606288', '33293685', '33148774', '242246100']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,103 rot, , ,red, , 
88,5229974,"['977669523', '35176746', '512980409', '35176751', '33148774']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, , , , , , , 
89,5234097,"['242091623', '79277590', '79277567', '350966728', '350966726', '282261837', '226085135', '159977172', '87962811', '237468784']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,110000,single,de:Schleswig-Holstein Netz,106 rot, , ,red, , 
90,5234098,"['35431117', '119495722', '29082137', '79277590', '350966728', '350966726', '79277567', '242091622', '87952814', '242100870', '87952813']",3,50, , ,Schleswig-Holstein Netz AG,Q2239261,power, ,route, ,110000,single,de:Schleswig-Holstein Netz,106 gelb, , ,yellow, , 
91,5234099,"['87952814', '87952813', '242100871', '159977172', '237468460', '87962811']",3,50, , , , ,power, ,route, ,110000,single, ,106 grün, , ,green, , 
92,5234127,"['119495720', '79277567', '242091625', '242246111', '955079620', '32905466', '33148774']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,101 rot, , ,red, , 
