,ID,Nodes,ref,power,wires,cables,voltage,circuits,operator,frequency,abandoned:power,line,note,name,layer,location,source,abandoned,disused,created_by,building,substation,source:name,addr:city,short_name,addr:street,addr:suburb,addr:country,addr:postcode,addr:housenumber,generator:source,access,barrier,old_name,contact:phone,ele,start_date,description,generator:method,generator:output,generator:output:cold,generator:output:heat,generator:output:steam,generator:output:electricity,roof:shape,wikidata,gas_insulated,addr:inclusion,building:levels,bridge,height,addr:housename,disused:power,service,gez,fixme,ref:Vattenfall,razed:substation,vehicle,voltage:primary,voltage:secondary,area,railway:ref,roof:colour,official_name,building:material,building:design:note,landuse,plant:method,plant:source,plant:output:hot_water,plant:output:electricity,foot,bicycle,vattenfall_ref,roof:levels,generator:output:hot_water,roof:material,building:colour,generator:type,ref:lda,heritage,lda:criteria,heritage:operator,man_made,street_cabinet,planned,plant:output:heat,seamark:cable_submarine:category,seamark:type,seamark:pipeline_submarine:category,seamark:pipeline_submarine:name,facility,building:part,wikipedia,source:geometry,generator:place,building:name,check_date,rev,demolished:power,demolished:building,demolished:operator,transformer,disused:rating,disused:voltage,disused:substation,disused:building,support,abandoned:building,abandoned:substation,colour,mapillary
0,7979022,"['59741855', '59741856', '59741857', '59741858', '59741859', '59741860', '59741861', '59741862', '59741863', '59741864', '59719633', '59719634', '59719635', '59719636', '59719637', '59719638']",GBN-MOW 1;GBN-MOW 2,line,single,6,110000,2,Stromnetz Berlin,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,7979029,"['1783050617', '59719712', '1756730854', '1756730845', '1783050837']",805, ,single,3,110000, ,Stromnetz Berlin,50,line,bay,nord-unten, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,8014776,"['59955953', '1055561447']", ,cable, , ,110000, ,Stromnetz Berlin,50, , , ,(837;838),-5,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,8014790,"['59956075', '59956091', '59956076']", ,abandoned,single,12,110000, ,Stromnetz Berlin,50, , , ,835;836;(837;838), , ,Bing,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,8014805,"['59956283', '59956196', '59956197', '269251813']", ,abandoned,single,12,110000, ,Stromnetz Berlin,50, , ,837;838, , , ,survey,line,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,8014860,"['59956733', '59956731', '59956734']", ,line, , , , , , , , , , , , , , , ,Potlatch alpha, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,11500045,"['102539474', '2809090938', '2809090937', '2809090936', '2809090939', '2809090940', '2809090941', '2809090942', '102539473', '102539221', '102539474']", ,substation, , ,380000, ,50Hertz Transmission GmbH,50, , , ,380 kV-Kabel Terminal Berlin, ,indoor, , , , ,service,transition,Geonames.org, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,11500346,"['102544227', '102544229', '102544230', '102544232', '248180499', '102542385', '102544234', '102549968', '102549969', '102549970', '102549971', '102549972', '102549973', '102549975', '102549976']",671;672, ,single,6,110000,2,Stromnetz Berlin GmbH,50,line, , ,"671, 672", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,14037659,"['133262513', '133262518', '133262521', '133262525', '133262532', '133262537', '133262513']", ,substation, , ,110000, ,Stromnetz Berlin,50, , , ,Umspannwerk Jakob-Kaiser-Platz, , ,survey, , , ,electricity, , ,Berlin,UW JK,Siemensdamm,Charlottenburg-Nord,DE,13627,80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,16412237,"['169398838', '169398839', '169398840', '169398841', '6542983663', '169398842', '169398843', '169398844', '169398845', '169398846', '169398848', '169398838']", ,generator, , , , , , , , , , , , , , , , ,service, , , , , , , , , ,gas, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
