,ID,Nodes,abandoned:power,cables,frequency,line,note,operator,ref,voltage,wires,layer,power,source,name,created_by,circuits,highway,maxspeed,name:hsb,building,generator:source,abandoned:building,plant:output:electricity,plant:output:hot_water,disused,wikidata,access,barrier,old:operator,website,disused:power,abandoned,demolished:building,demolished:power,surface,tracktype,substation,building:levels,rating,generator:method,generator:output:electricity,substance,service,location,fixme,ref:Vattenfall,roof:shape,abandoned:substation,description:de,object:postcode,object:street,object:suburb,vacant,historic:power,old_name,landuse,roof:colour,plant:source,wikipedia,voltage:primary,voltage:secondary,sidewalk,height,roof:levels,check_date,type,year,ruins,description,power_supply,toilets:wheelchair,tourism,wheelchair,substation:type,man_made,street_cabinet,material,FIXME,object:village,source:image,level,operator:wikidata,seamark:cable_submarine:category,seamark:cable_submarine:name,seamark:type,information,capacity,fee,operator:wikipedia,area,seamark:pipeline_submarine:category,seamark:pipeline_submarine:name,disused:substation,building:colour,addr:postcode,addr:street,alt_name,image,building:part,colour,management_region,sanitary_dump_station,waterway,addr:housenumber,addr:village,start_date,bldam:criteria,heritage,heritage:operator,historic,ref:bldam,year_of_construction,building:height,voltage-low,alt_name2,lfd:criteria,ref:lfd,transformer,tower:type,addr:hamlet,sport,disused:rating,disused:voltage,disused:building,owner,denotation,object:hamlet,project number,artist_name,artwork_type,addr:suburb,url,building:material,roof:material,project,object:isolated_dwelling,old_ref,addr:city,inscription,old_operator,addr:country,amenity,shelter_type,structure,object:place,source2,object:town,removed:power,mapillary,tunnel,utility,bridge,design,power:disused,railway:electricity:ref,vattenfall_ref,survey:date,battery,storage:type,pump
0,7979029,"['1783050617', '59719712', '1756730854', '1756730845', '1783050837']",line,3,50,bay,nord-unten,Stromnetz Berlin,805,110000,single, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,7982837,"['60668999', '1016135321', '1016135318', '1016135503', '1016135304', '1016135512', '59747779', '1016135915', '1016135892', '1016135920', '1016135951', '1016135369', '59747780', '1016135363', '1016135433', '1016135575', '1016135545', '279711436', '1024583997', '1024583979', '1024583989', '59747781', '1024584109', '1024584068', '1024584025', '1024584052', '1024583960', '1024584059', '322128424']", ,3,50, , , , ,20000,single,3,minor_line,Bing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,8014833,"['59956444', '59956445', '59956428', '299747556', '299747282', '269250818', '269247280', '6052809243', '269247281', '269247282', '269247283', '269248106', '269248728', '269248729', '269249381', '269249382']",line,6,50, ,nord:707;süd:706,Stromnetz Berlin GmbH, ,110000,single, , ,landsat,706 WUL-FRH;707 WUL-FRH, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,8014860,"['59956733', '59956731', '59956734']", , , , , , , , , , ,line, , ,Potlatch alpha, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,11500346,"['102544227', '102544229', '102544230', '102544232', '248180499', '102542385', '102544234', '102549968', '102549969', '102549970', '102549971', '102549972', '102549973', '102549975', '102549976']",line,6,50, , ,Stromnetz Berlin GmbH,671;672,110000,single, , , ,"671, 672", ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,16353087,"['31127605', '1404703347', '1404703345', '247341798', '309049153', '9817672602', '247341799', '1886240187', '31127609']", , , , , , , , , , , , ,Saspower Hauptstraße, , ,residential,30,Zaspicka głowna droga, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,16412237,"['169398838', '169398839', '169398840', '169398841', '6542983663', '169398842', '169398843', '169398844', '169398845', '169398846', '169398848', '169398838']", , , , , , , , , , ,generator, , , , , , , ,service,gas, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,16412275,"['2967219792', '2967219791', '2967219796', '2967219794', '2967219777', '2967219784', '2967219789', '2967219788', '2967219792']", , , , , , , , , , ,substation, , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,23241895,"['1849953103', '1849914351', '1849914349', '1849914347', '1849914345', '1849914343', '1849914341', '1849914338', '1849914335', '1849914328', '724828736', '724828800', '1695979988']", , , , , , , ,110000, , ,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,23483286,"['256940848', '254312753', '254312754', '254312755', '254312756', '254312757', '254312758', '254312759', '254312721', '254312720', '254312719', '254312718', '254312717', '254312716', '254312715']", , , , , , , , , ,2,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,23483349,"['254313681', '254313682', '6076118915', '254313683', '254313684', '254313685', '254313686', '254313687', '254313688', '254313731', '254313732', '475170602', '254313689', '254313690', '254313365', '254313366', '254313367', '254313368', '254313797', '254313349', '254313350', '254313351', '254313352', '254313353', '254313354']", , , , , , , , , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,23483396,"['254313717', '254313718', '254313719', '254313720', '254313721', '254313722', '254313727', '254313728', '254313729', '254313730', '254313766', '254313767']", , , , , , , , , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
