,ID,Nodes,cables,circuits,frequency,power,voltage,wires,source,barrier,disused:power,end_date,generator:source,generator:type,landuse,name,name:da,name:fr,name:ru,note:de,operator,plant:output:electricity,ref,start_date,wikidata,wikipedia,line,removed:power,removed:voltage,location,substation,layer,was:voltage,highway,oneway,building,fixme,power:demolished,maxspeed,surface,removed:line,from,to,abandoned:power,note,website,demolished:power,description,capacity,fee,power_supply,sanitary_dump_station,tourism,water_point,artwork_type,area,wheelchair,caravans,dog,sanitary_dump_station:chemical_toilet,seamark:cable_submarine:category,seamark:type,plant:output:hot_water,plant:source,disused:substation,abandoned:cables,abandoned:voltage,abandoned,building:levels,height,material,year_of_construction,razed:power,man_made,street_cabinet,plant:method,ref:EU:ENTSOE_EIC,lines,service,seamark:cable_area:category,seamark:restricted_area:restriction,generator:method,transformer,abandoned:substation,description:de,historic,object:postcode,object:street,object:village,owner,roof:shape,construction:power,object:town,old_operator,fuel:biogas,fuel,seamark:source,seamark:cable_overhead:category,seamark:cable_overhead:clearance_height_safe,name:signed,tents,official_name,opening_date,seamark:name,seamark:production_area:category,seamark:production_area:condition,construction:substation
0,19339247,"['247790505', '247790874', '247790875', '247790876', '247790877', '247790878', '247790879', '247790880', '247790881', '200964953', '200964954', '200964956', '200964957', '200964959', '200964960']",12,4,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,19340691,"['200981252', '200981253', '201468812', '3018303794', '200981255', '200981257', '247760656', '247760697', '200981259', '200981261', '2108564655', '200981264', '200981265', '247760106', '247760107', '247760108', '247760109', '247760110', '247760111', '247760112', '247760113', '247760114', '247760115', '237796548']",12,4,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,19800674,"['206342226', '206342227', '255365713', '206342228']",6,2,50,line,110000, ,Bing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,22984069,"['1471550639', '621709246', '3197608629', '247774959', '247774912']",3, ,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,22985942,"['1138470358', '1138470304', '1138470337', '247790501', '4044375980', '247790505']",3, ,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,22985943,"['247790504', '7687540788', '247790505']",3, ,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,22985945,"['247790505', '247790503', '1138470323', '1138470254', '1138470341']",3, ,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,22985951,"['247790505', '247790506', '1138470244', '1138470316']",3, ,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,23133385,"['249780047', '249780048', '249780049', '2199951822', '249780050', '249780051', '249780052', '2199951659', '249780053', '249780054', '249780055', '249780056', '2199951667', '249780057', '2199951689', '2199951691', '2199951700', '249780058', '2170239095', '249780059', '2199951698', '249780060', '249780061', '249780062', '2199951800', '249780047']", , , , , , , ,retaining_wall,plant,2011-08-06,nuclear,BWR-2,industrial,Kernkraftwerk Krümmel,Krümmel atomkraftværk,Centrale nucléaire de Krümmel,АЭС Крюммель,2009 vom Netz gegangen,Kernkraftwerk Krümmel GmbH & Co. oHG,no,KKK,1984-03-28,Q703271,de:Kernkraftwerk Krümmel, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,23133387,"['1139205288', '1139205152', '1139205164', '1139206030', '2425788113', '249780064']",3, ,50,line,380000, , , , , , , , , , , , , , , , , , , ,bay, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
